Timestamp,Text_Size,Image_Size,Digital_Challenges,Application_Challenges,age,Tech_Comfort,Primary_devices,Student_Status,Education_Level,Platforms_used,"feedbackBlackBoard","feedbackMoodle","feedbackBrightspace","feedbackCanvas","feedbackAtutor","feedbackAula]",Current_Device
21/01/2025 00:11:41,36,200,Difficulty with precise clicking/tapping,Difficulty reading small text,27,4,Laptop,Yes,Bachelor's degree,"BlackBoard, Moodle",I like it,I don't mind it,,,,,Laptop
25/01/2025 18:28:47,12,260,,Difficulty navigating menus,20,5,Laptop,Yes,Other,"BlackBoard, Moodle, Brightspace",I don't mind it,I like it,I don't mind it,,,,PC Desktop
25/01/2025 18:36:05,16,375,,,50,5,Laptop,Yes,Bachelor's degree,"BlackBoard, Moodle, Canvas",I don't mind it,I don't mind it,,I like it,,,Mobile Phone
25/01/2025 19:15:28,18,300,,Difficulty reading small text,46,5,"Smartphone, Laptop, Desktop computer, eReader (e.g., Kindle)",Yes,Bachelor's degree,BlackBoard,I don't mind it,,,,,,Mobile Phone
25/01/2025 21:10:50,20,350,,Difficulty reading small text,25,5,"Tablet, Laptop",No,Bachelor's degree,Canvas,,,,I like it,,,Mobile Phone
25/01/2025 21:21:12,16,225,,Difficulty reading small text,28,5,"Smartphone, Laptop, Desktop computer",Yes,Secondary/High school/GCSE,"BlackBoard, Brightspace",I like it,,I don't mind it,,,,Mobile Phone
25/01/2025 22:05:39,18,350,Vision difficulties,Difficulty reading small text,50,4,"Smartphone, Laptop",No,Bachelor's degree,Canvas,,,,I like it,,,Mobile Phone
26/01/2025 14:36:12,17,275,"Memory or cognitive challenges (Do you forget or get lost on the navigation), ADHD","Difficulty understanding instructions, Difficulty clicking small buttons or icons, Sound or audio not being clear enough, confirmatory clicks are annoying e.g. having to select something then press enter more than once",22,4,"Tablet, Laptop",Yes,A-levels or equivalent,Moodle,,I don't like it,,,,,Mobile Phone
26/01/2025 14:39:01,18,300,Difficulty with precise clicking/tapping,"Difficulty reading small text, Difficulty navigating menus, Difficulty clicking small buttons or icons",26,4,"Smartphone, Tablet, Laptop",Yes,Bachelor's degree,BlackBoard,I like it,,,,,,Mobile Phone
26/01/2025 14:49:38,15,250,Memory or cognitive challenges (Do you forget or get lost on the navigation),"Difficulty reading small text, Difficulty clicking small buttons or icons, Slow application performance, Sound or audio not being clear enough",28,3,"Smartphone, Tablet, Desktop computer",Yes,Master’s degree,BlackBoard,I like it,,,,,,Mobile Phone
